First_Name,Last_Name,Email,Character,Gender,Type_Char
Patricio,Villanueva,patricio0301@gmail.com,Dooku,Male,Jedi
Patricio,Villanueva,patricio0301@gmail.com,Darth_Maul,Male,Jedi
gdfgf,gfdfg,patricio0301@gmail.com,yoda,Female,Sith
gdfgf,gfdfg,patricio0301@gmail.com,yoda,Female,Sith
gdfgf,gfdfg,patricio0301@gmail.com,yoda,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Darth_Sidious,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Jabba,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Darth_Sidious,Male,Jedi
lidate,hghs4546,gsdfgsdf@gmail.com,Darth_Sidious,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Darth_Maul,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Darth_Sidious,Male,Jedi
Patricio,Villanueva,patricio0301@gmail.com,C-3PO,Female,Sith
Patricio,Villanueva,patricio0301@gmail.com,Jabba,Male,Jedi
